"","X.1","Site.Ref","Collected.Date","Variable.Name","Value","Quality","X","Site.name","Latitude","Longitude","day","month","year","temp","date","month2","month.year"
"1",1963,"61672159","17/07/2019","Water Temp situ(øC) MAX",21.553,"3",176262,"Artesian Monitoring - AM20B",-31.6456,115.7057,"17","7","2019",21.553,2019-07-17,"07","07/2019"
"2",908,"61615172","12/12/2019","Water Temp situ(øC) MAX",51.282,"3",162888,"Artesian Monitoring - AM23B",-31.6876059,115.7272211,"12","12","2019",51.282,2019-12-12,"12","12/2019"
"3",5908,"61615173","5/02/2020","Water Temp situ(øC) MAX",28.012,"3",162932,"Artesian Monitoring - AM23C",-31.68756,115.7272,"5","2","2020",28.012,2020-02-05,"02","02/2020"
"4",3017,"61615182","21/01/2020","Water Temp situ(øC) MAX",21.712,"3",163229,"Artesian Monitoring - AM27C",-31.76981,115.7838,"21","1","2020",21.712,2020-01-21,"01","01/2020"
"5",6996,"61615164","9/11/2019","Water Temp situ(øC) MAX",21.483,"3",162581,"Artesian Monitoring - AM27D",-31.76985,115.7838,"9","11","2019",21.483,2019-11-09,"11","11/2019"
"6",4894,"61615165","29/02/2020","Water Temp situ(øC) MAX",20.931,"3",162624,"Artesian Monitoring - AM27E",-31.76988,115.7838,"29","2","2020",20.931,2020-02-29,"02","02/2020"
"7",6324,"61715045","6/12/2019","Water Temp situ(øC) MAX",21.634,"3",195145,"Artesian Monitoring - AM8B",-31.42201,115.6219,"6","12","2019",21.634,2019-12-06,"12","12/2019"
"8",330,"61700074","10/07/2011","Water Temp situ(øC) MAX",20.68,"10",179147,"Lake Thetis - TH1B",-30.50660437,115.0780996,"10","7","2011",20.68,2011-07-10,"07","07/2011"
"9",316,"61700075","10/06/2011","Water Temp situ(øC) MAX",20.85,"1",179215,"Lake Thetis - TH1C",-30.50659535,115.0780998,"10","6","2011",20.85,2011-06-10,"06","06/2011"
"10",2638,"61700072","2/06/2011","Water Temp situ(øC) MAX",22.01,"10",178993,"Lake Thetis - TH2C",-30.50805,115.0859,"2","6","2011",22.01,2011-06-02,"06","06/2011"
