"","month.year","time","av.temp","Location"
"1","2019.Apr",2019-04-16 11:20:00,20.8739181518555,"Marmion"
"2","2019.Aug",2019-08-16 23:20:00,17.5523620605469,"Marmion"
"3","2019.Dec",2019-12-16 23:20:00,22.0862823486328,"Marmion"
"4","2019.Feb",2019-02-15 11:20:00,22.279428100586,"Marmion"
"5","2019.Jan",2019-01-16 23:20:00,22.2063385009766,"Marmion"
"6","2019.Jul",2019-07-16 23:20:00,18.384049987793,"Marmion"
"7","2019.Jun",2019-06-16 11:20:00,18.7478347778321,"Marmion"
"8","2019.Mar",2019-03-16 23:20:00,22.7117019653321,"Marmion"
"9","2019.May",2019-05-16 23:20:00,19.2583404541016,"Marmion"
"10","2019.Nov",2019-11-16 11:20:00,20.4286285400391,"Marmion"
"11","2019.Oct",2019-10-16 23:20:00,19.0685211181641,"Marmion"
"12","2019.Sep",2019-09-16 11:20:00,18.443490600586,"Marmion"
"13","2020.Apr",2020-04-16 11:20:00,22.1508499145508,"Marmion"
"14","2020.Aug",2020-08-16 23:20:00,18.3335433959961,"Marmion"
"15","2020.Dec",2020-12-16 23:20:00,21.3560653686524,"Marmion"
"16","2020.Feb",2020-02-15 23:20:00,23.0905624389649,"Marmion"
"17","2020.Jan",2020-01-16 23:20:00,22.4317489624024,"Marmion"
"18","2020.Jul",2020-07-16 23:20:00,18.741098022461,"Marmion"
"19","2020.Jun",2020-06-16 11:20:00,20.7679458618164,"Marmion"
"20","2020.Mar",2020-03-16 23:20:00,23.082162475586,"Marmion"
"21","2020.May",2020-05-16 23:20:00,20.44814453125,"Marmion"
"22","2020.Nov",2020-11-16 11:20:00,20.5163513183594,"Marmion"
"23","2020.Oct",2020-10-16 23:20:00,18.8191009521485,"Marmion"
"24","2020.Sep",2020-09-16 11:20:00,18.1801315307617,"Marmion"
